player_id,therapy_id,item_id,x_coord,y_coord,hit,color
0,0,0,8.5,3,True,Yellow
0,0,1,7.4,3,False,Green
0,0,2,6.3,3,False,Green
0,0,3,6.3,1,True,Yellow
0,0,4,8.5,1,True,Yellow
0,0,5,8.5,1,False,Green
0,0,6,7.4,3,True,Red
0,0,7,6.3,2,True,Green
0,0,8,7.4,1,True,Yellow
0,0,9,7.4,3,False,Green
0,0,10,8.5,1,False,Red
0,0,11,7.4,1,False,Red
0,0,12,6.3,1,True,Blue
0,0,13,6.3,1,True,Green
0,0,14,6.3,3,True,Blue
0,0,15,6.3,3,False,Blue
0,0,16,8.5,2,False,Yellow
0,0,17,8.5,2,True,Yellow
0,0,18,7.4,1,True,Green
0,0,19,8.5,3,False,Green
0,0,20,8.5,2,True,Yellow
0,0,21,8.5,3,False,Green
0,0,22,6.3,2,True,Green
0,0,23,6.3,2,False,Yellow
